repeat,epoch,inference_ms,gpu_mem_MB
1,1,6985.060453414917,17.642496
2,1,696.1250305175781,17.642496
3,1,697.2551345825195,17.642496
4,1,698.936939239502,17.642496
5,1,695.9054470062256,17.642496
6,1,691.6744709014893,17.642496
7,1,690.2077198028564,17.642496
8,1,696.6822147369385,17.642496
9,1,697.7009773254395,17.642496
10,1,693.5977935791016,17.642496
11,1,698.8546848297119,17.642496
12,1,692.2881603240967,17.642496
13,1,700.6704807281494,17.642496
14,1,690.7215118408203,17.642496
15,1,701.8942832946777,17.642496
16,1,696.2985992431641,17.642496
17,1,700.1359462738037,17.642496
18,1,698.540449142456,17.642496
19,1,699.6378898620605,17.642496
20,1,697.8006362915039,17.642496
21,1,722.9304313659668,17.642496
22,1,660.9723567962646,17.642496
23,1,708.1828117370605,17.642496
24,1,697.3540782928467,17.642496
25,1,697.077751159668,17.642496
26,1,683.3748817443848,17.642496
27,1,697.9854106903076,17.642496
28,1,698.3788013458252,17.642496
29,1,693.3026313781738,17.642496
30,1,699.6676921844482,17.642496
31,1,698.9743709564209,17.642496
32,1,697.5769996643066,17.642496
33,1,695.7361698150635,17.642496
34,1,694.8769092559814,17.642496
35,1,714.1232490539551,17.642496
36,1,700.8209228515625,17.642496
37,1,698.2433795928955,17.642496
38,1,704.6186923980713,17.642496
39,1,690.5293464660645,17.642496
40,1,691.6360855102539,17.642496
41,1,704.0834426879883,17.642496
42,1,704.1850090026855,17.642496
43,1,698.5049247741699,17.642496
44,1,699.6700763702393,17.642496
45,1,694.476842880249,17.642496
46,1,691.6282176971436,17.642496
47,1,688.908576965332,17.642496
48,1,691.4701461791992,17.642496
49,1,688.9736652374268,17.642496
50,1,697.4039077758789,17.642496
51,1,703.6123275756836,17.642496
52,1,708.1997394561768,17.642496
53,1,695.5432891845703,17.642496
54,1,696.2964534759521,17.642496
55,1,698.2553005218506,17.642496
56,1,696.0208415985107,17.642496
57,1,705.552339553833,17.642496
58,1,693.4432983398438,17.642496
59,1,696.9046592712402,17.642496
60,1,698.1737613677979,17.642496
61,1,701.6782760620117,17.642496
62,1,703.3581733703613,17.642496
63,1,701.3564109802246,17.642496
64,1,702.8133869171143,17.642496
65,1,700.627326965332,17.642496
66,1,703.2697200775146,17.642496
67,1,702.7511596679688,17.642496
68,1,700.8895874023438,17.642496
69,1,696.6726779937744,17.642496
70,1,703.6023139953613,17.642496
71,1,721.1055755615234,17.642496
72,1,690.5713081359863,17.642496
73,1,686.4662170410156,17.642496
74,1,691.9910907745361,17.642496
75,1,695.4605579376221,17.642496
76,1,708.8363170623779,17.642496
77,1,694.3860054016113,17.642496
78,1,702.6047706604004,17.642496
79,1,707.819938659668,17.642496
80,1,701.2479305267334,17.642496
81,1,704.2374610900879,17.642496
82,1,698.3177661895752,17.642496
83,1,695.8143711090088,17.642496
84,1,702.9917240142822,17.642496
85,1,695.6419944763184,17.642496
86,1,699.3265151977539,17.642496
87,1,706.7065238952637,17.642496
88,1,696.0995197296143,17.642496
89,1,708.2476615905762,17.642496
90,1,693.9873695373535,17.642496
91,1,699.042558670044,17.642496
92,1,707.4363231658936,17.642496
93,1,694.8935985565186,17.642496
94,1,704.6334743499756,17.642496
95,1,701.9579410552979,17.642496
96,1,690.7899379730225,17.642496
97,1,704.2796611785889,17.642496
98,1,695.5928802490234,17.642496
99,1,689.9969577789307,17.642496
100,1,702.2769451141357,17.642496
